14	1	211
52	0	20
155	1	211
230	1	428
344	0	39
329	0	320
381	0	253
266	0	207
449	0	239
230	0	54
122	0	121
391	0	408
395	0	84
362	1	36
448	0	65
214	0	458
469	0	356
449	1	320
324	1	39
133	1	302
386	1	207
449	0	275
221	0	361
364	1	213
133	0	343
230	1	320
389	1	168
139	1	384
152	1	191
416	0	231
247	0	296
225	0	302
71	1	219
214	0	314
253	1	486
146	1	21
183	1	408
395	1	21
389	1	433
115	0	253
20	0	245
221	0	217
391	0	300
364	0	253
122	1	207
386	0	18
328	1	232
247	1	260
193	1	253
389	0	245
469	1	213
183	1	444
314	1	462
133	1	14
235	0	232
488	0	218
365	1	302
139	0	460
365	0	486
116	0	343
331	0	245
394	0	302
403	0	260
205	1	121
221	1	217
230	0	296
413	1	231
183	1	300
203	0	20
488	1	219
362	1	278
362	0	462
25	1	260
14	1	80
252	0	245
71	0	231
268	0	217
146	0	219
25	1	296
253	1	234
122	0	219
187	0	245
364	1	46
205	0	18
454	0	161
362	1	134
98	0	462
133	1	400
394	0	14
314	0	245
328	1	245
149	1	180
403	1	462
328	0	429
253	1	90
448	0	428
139	1	253
23	0	14
225	0	400
328	0	20
230	1	418
252	1	65
266	0	426
469	0	81
329	1	46
133	0	477
20	0	343
389	1	302
488	0	231
69	1	211
389	0	343
296	1	2
448	1	20
229	0	161
193	0	14
449	1	81
413	0	428
456	1	219
214	0	39
253	1	211
183	0	168
448	0	320
364	0	207
82	0	343
254	0	480
184	0	378
69	0	480
381	1	180
394	0	400
205	1	219
183	0	433
454	1	219
345	0	211
221	0	207
205	0	260
122	0	232
205	0	31
344	1	231
394	1	215
389	1	14
252	0	343
386	1	318
71	1	65
122	1	462
381	1	36
25	0	429
155	0	219
391	1	191
394	1	480
25	0	20
296	0	14
179	0	217
237	0	480
214	1	161
115	1	180
257	1	217
417	0	81
314	0	343
149	0	462
328	1	343
364	1	180
456	0	231
122	1	318
149	1	278
133	0	81
346	0	300
214	1	426
329	0	408
115	1	36
230	1	107
389	1	400
488	1	65
416	0	234
225	1	462
252	1	428
329	0	444
205	1	232
252	0	320
254	0	84
266	1	296
133	1	161
456	0	352
69	0	84
253	1	80
9	1	219
122	0	65
344	0	428
14	1	191
389	0	477
469	0	480
247	0	384
449	1	444
14	0	46
381	1	278
381	0	462
329	0	300
324	0	18
469	1	36
449	1	35
449	0	219
456	0	208
362	1	245
158	0	168
362	0	429
328	0	275
71	1	343
252	1	320
394	1	84
469	0	336
449	1	300
362	0	20
381	1	134
413	1	234
237	1	458
187	1	208
203	1	180
329	1	121
237	0	84
52	0	121
332	0	36
416	0	211
252	0	477
71	0	234
394	0	161
11	1	288
115	0	462
221	0	426
364	1	278
364	0	462
456	1	65
403	1	429
183	0	14
14	1	168
193	1	462
265	1	161
85	1	65
403	1	20
221	0	462
71	0	90
314	0	477
205	1	65
328	1	477
16	1	426
463	0	231
14	1	433
364	1	134
265	1	426
487	0	458
71	1	320
218	0	320
324	0	260
389	0	81
155	1	253
221	1	426
469	0	84
417	0	300
203	0	458
413	1	211
449	0	232
488	1	428
205	0	371
345	1	21
266	0	20
133	0	300
155	0	65
139	1	460
247	1	361
488	0	54
462	0	384
141	0	462
381	1	147
324	1	81
230	0	361
183	0	400
237	1	291
391	1	302
386	1	20
391	0	486
389	1	161
391	0	257
97	0	65
344	1	198
14	0	180
296	1	90
247	1	217
252	1	418
217	0	65
203	1	458
229	0	20
496	1	217
254	1	39
122	1	429
212	0	215
212	1	180
448	0	408
52	0	219
187	0	81
139	1	462
416	0	309
122	1	20
394	1	218
416	0	80
14	0	36
116	0	300
403	0	217
