100	0	100
100	1	110
100	2	101
100	3	100
100	4	110
101	0	101
101	1	114
101	2	102
101	3	102
101	4	112
102	0	102
102	1	118
102	2	103
102	3	104
102	4	114
103	0	103
103	2	104
103	3	106
103	4	116
104	0	104
104	2	105
104	3	108
104	4	118
105	0	105
105	2	106
106	0	106
106	2	107
107	0	107
107	2	108
108	0	108
108	2	109
109	0	109
110	0	120
110	1	120
110	2	111
110	3	120
110	4	120
111	0	121
111	1	124
111	2	112
111	3	122
111	4	122
112	0	122
112	1	128
112	2	113
112	3	124
112	4	124
113	0	123
113	2	114
113	3	126
113	4	126
114	0	124
114	2	115
114	3	128
114	4	128
115	0	125
115	2	116
116	0	126
116	2	117
117	0	127
117	2	118
118	0	128
118	2	119
119	0	129
120	0	140
120	1	130
120	2	121
120	3	140
120	4	130
121	0	141
121	1	134
121	2	122
121	3	142
121	4	132
122	0	142
122	1	138
122	2	123
122	3	144
122	4	134
123	0	143
123	2	124
123	3	146
123	4	136
124	0	144
124	2	125
124	3	148
124	4	138
125	0	145
125	2	126
126	0	146
126	2	127
127	0	147
127	2	128
128	0	148
128	2	129
129	0	149
130	0	160
130	1	140
130	2	131
130	3	160
130	4	140
131	0	161
131	1	144
131	2	132
131	3	162
131	4	142
132	0	162
132	1	148
132	2	133
132	3	164
132	4	144
133	0	163
133	2	134
133	3	166
133	4	146
134	0	164
134	2	135
134	3	168
134	4	148
135	0	165
135	2	136
136	0	166
136	2	137
137	0	167
137	2	138
138	0	168
138	2	139
139	0	169
140	0	180
140	1	150
140	2	141
140	3	180
140	4	150
141	0	181
141	1	154
141	2	142
141	3	182
141	4	152
142	0	182
142	1	158
142	2	143
142	3	184
142	4	154
143	0	183
143	2	144
143	3	186
143	4	156
144	0	184
144	2	145
144	3	188
144	4	158
145	0	185
145	2	146
146	0	186
146	2	147
147	0	187
147	2	148
148	0	188
148	2	149
149	0	189
150	1	160
150	2	151
150	4	160
151	1	164
151	2	152
151	4	162
152	1	168
152	2	153
152	4	164
153	2	154
153	4	166
154	2	155
154	4	168
155	2	156
156	2	157
157	2	158
158	2	159
160	1	170
160	2	161
160	4	170
161	1	174
161	2	162
161	4	172
162	1	178
162	2	163
162	4	174
163	2	164
163	4	176
164	2	165
164	4	178
165	2	166
166	2	167
167	2	168
168	2	169
170	1	180
170	2	171
170	4	180
171	1	184
171	2	172
171	4	182
172	1	188
172	2	173
172	4	184
173	2	174
173	4	186
174	2	175
174	4	188
175	2	176
176	2	177
177	2	178
178	2	179
180	1	190
180	2	181
180	4	190
181	1	194
181	2	182
181	4	192
182	1	198
182	2	183
182	4	194
183	2	184
183	4	196
184	2	185
184	4	198
185	2	186
186	2	187
187	2	188
188	2	189
190	2	191
191	2	192
192	2	193
193	2	194
194	2	195
195	2	196
196	2	197
197	2	198
198	2	199
